SiteEnergyUse,SourceEUI,PropertyGFATotal,BuildinQuality,ConstructioClass,EffYear,YearBuilt,Elevators,HeatinSystem,NumbeOBuildingAggregated,PredominanUse,Shape,Sprinklers,NumberofFloors,PredominantUseCode,HeatinSystemCode
1054581.375,102.0999985,38100,GOOD,WOOD FRAME,16,33,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
1063960.125,110,25658,AVERAGE,MASONRY,8,49,,SPACE HEATERS,1,MIXED USE OFFICE (840),Rect or Slight Irreg,Yes,1,840,SPACE HEATERS
6674179.5,351.7000122,45155,AVERAGE,MASONRY,22,32,,PACKAGE UNIT,1,SUPERMARKET (446),Very Irreg,Yes,1,446,PACKAGE UNIT
2186148.5,176.6999969,32000,LOW COST,MASONRY,43,52,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS
1356972.25,87.90000153,31360,AVERAGE,MASONRY,34,39,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS
2339234,154.1999969,33320,AVERAGE,MASONRY,34,39,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS
1176342.25,82.5,27420,AVERAGE,MASONRY,34,39,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS
1847401,73.90000153,50417,AVERAGE,MASONRY,38,38,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS
2759071.5,79.59999847,123075,AVERAGE/GOOD,WOOD FRAME,4,4,Yes,COMPLETE HVAC,1,APARTMENT (300),Very Irreg,Yes,6,300,COMPLETE HVAC
1381590.125,28.799999239999998,84870,AVERAGE,REINFORCED CONCRETE,39,108,Yes,HOT WATER,1,"MINI WAREHOUSE, HI-RISE (525)",Very Irreg,No,5,525,HOT WATER
111969.7031,16.700000760000002,24248,AVERAGE,MASONRY,56,56,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS
15640994,305.1000061,133298,GOOD,REINFORCED CONCRETE,22,57,Yes,PACKAGE UNIT,1,MEDICAL OFFICE (341),Rect or Slight Irreg,Yes,3,341,PACKAGE UNIT
3699690,98.19999695,127230,AVERAGE,REINFORCED CONCRETE,24,48,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,9,300,ELECTRIC WALL
662701.1875,103.4000015,20132,AVERAGE/GOOD,WOOD FRAME,22,51,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
2721296.25,97,88096,AVERAGE,WOOD FRAME,22,39,Yes,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,,4,352,ELECTRIC
2765612.25,152.6000061,49510,AVERAGE,MASONRY,26,50,Yes,ELECTRIC WALL,1,APARTMENT (300),Long Rect or Irreg,No,6,300,ELECTRIC WALL
1034808.875,146.8999939,23664,AVERAGE,WOOD FRAME,15,41,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,No,3,352,ELECTRIC WALL
1934971,81.69999695,56334,AVERAGE,WOOD FRAME,10,12,Yes,ELECTRIC,1,APARTMENT (300),Very Irreg,Yes,4,300,ELECTRIC
968026.3125,88.09999847,24224,GOOD,MASONRY,8,61,,FORCED AIR UNIT,1,RETAIL STORE (353),Rect or Slight Irreg,Yes,2,353,FORCED AIR UNIT
400770.9063,33.29999924,23706,GOOD,WOOD FRAME,23,55,,FORCED AIR UNIT,1,CHURCH WITH SUNDAY SCHOOL (308),Rect or Slight Irreg,No,1,308,FORCED AIR UNIT
505601,90.59999847,20599,AVERAGE,WOOD FRAME,22,42,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL
817695.6875,100.6999969,29896,AVERAGE,MASONRY,23,92,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,Yes,3,352,HOT WATER
464155.1875,34.70000076,20022,AVERAGE,WOOD FRAME,24,108,No,ELECTRIC WALL,2,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,ELECTRIC WALL
2630929.5,84.30000305,97978,GOOD,REINFORCED CONCRETE,14,46,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,10,300,ELECTRIC WALL
2003948.375,90.40000153,87041,AVERAGE/GOOD,WOOD FRAME,6,10,Yes,ELECTRIC WALL,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,6,459,ELECTRIC WALL
9977330,88.09999847,371442,AVERAGE/GOOD,WOOD FRAME,6,10,Yes,HEAT PUMP,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,6,459,HEAT PUMP
1427482.75,102.4000015,38407,AVERAGE/GOOD,WOOD FRAME,4,5,Yes,PACKAGE UNIT,1,APARTMENT (300),Rect or Slight Irreg,Yes,6,300,PACKAGE UNIT
1034827.313,93.19999695,34846,LOW COST,WOOD FRAME,30,50,No,ELECTRIC WALL,2,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,No,3,352,ELECTRIC WALL
1748444.25,181.8000031,25200,AVERAGE,MASONRY,59,111,,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,WARMED AND COOLED AIR
284857.3125,13.19999981,45068,AVERAGE,MASONRY,43,71,,COMPLETE HVAC,1,CHURCH (309),Long Rect or Irreg,Yes,1,309,COMPLETE HVAC
1328461.25,155.1000061,28296,AVERAGE,MASONRY,38,55,,HEAT PUMP,1,OPEN OFFICE (820),Rect or Slight Irreg,No,2,820,HEAT PUMP
1570758.25,110.8000031,71597,AVERAGE,WOOD FRAME,12,20,,ELECTRIC WALL,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,6,459,ELECTRIC WALL
1965075.625,189.3000031,31357,AVERAGE/GOOD,REINFORCED CONCRETE,19,19,Yes,PACKAGE UNIT,1,MEDICAL OFFICE (341),Very Irreg,Yes,3,341,PACKAGE UNIT
6127771.5,58.90000153,173185,AVERAGE,MASONRY,53,66,,HOT WATER,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,2,365,HOT WATER
863703,101.4000015,23100,AVERAGE,MASONRY,38,63,,FORCED AIR UNIT,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,406,FORCED AIR UNIT
440419.1875,40.90000153,22895,GOOD,WOOD FRAME,36,37,,HEAT PUMP,1,CHURCH (309),Rect or Slight Irreg,Yes,3,309,HEAT PUMP
592221,85.90000153,21640,AVERAGE,MASONRY,28,56,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
9367205,94.30000305,289471,AVERAGE/GOOD,WOOD FRAME,7,13,Yes,ELECTRIC,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,7,459,ELECTRIC
940844.6875,32,101580,GOOD,REINFORCED CONCRETE,4,4,Yes,ELECTRIC,1,"MINI WAREHOUSE, HI-RISE (525)",Very Irreg,Yes,4,525,ELECTRIC
1026041.125,112.8000031,35577,AVERAGE,WOOD FRAME,20,35,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
823032.375,111,41474,AVERAGE,REINFORCED CONCRETE,9,9,Yes,ELECTRIC,1,APARTMENT (300),Very Irreg,Yes,4,300,ELECTRIC
1195165.25,65.5,41600,GOOD,MASONRY,38,67,,HOT WATER,1,CHURCH (309),Rect or Slight Irreg,Yes,2,309,HOT WATER
1210798.375,77,61745,AVERAGE/GOOD,REINFORCED CONCRETE,11,37,Yes,ELECTRIC,1,APARTMENT (300),Very Irreg,Yes,7,300,ELECTRIC
754098.5,87.5,43969,AVERAGE/GOOD,WOOD FRAME,8,19,Yes,ELECTRIC WALL,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,3,459,ELECTRIC WALL
1986611.375,80.80000305,56617,AVERAGE/GOOD,MASONRY,12,101,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,4,352,ELECTRIC WALL
454124.3125,67,21239,LOW COST,MASONRY,53,93,,HOT WATER,1,RETAIL STORE (353),Rect or Slight Irreg,No,3,353,HOT WATER
607817.1875,59.09999847,26843,GOOD,WOOD FRAME,8,21,Yes,FORCED AIR UNIT,1,APARTMENT (300),Rect or Slight Irreg,Yes,5,300,FORCED AIR UNIT
816510.875,80.5,26280,AVERAGE,WOOD FRAME,26,49,Yes,ELECTRIC WALL,1,APARTMENT (300),Very Irreg,Yes,4,300,ELECTRIC WALL
498649.3125,77.19999695,20278,AVERAGE,WOOD FRAME,26,50,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
941257.3125,90.5,41332,AVERAGE,WOOD FRAME,16,31,Yes,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,Yes,3,352,ELECTRIC
1400053.875,95.69999695,70094,AVERAGE,WOOD FRAME,17,31,Yes,ELECTRIC WALL,2,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL
2712983.75,91.09999847,134490,AVERAGE,WOOD FRAME,17,31,Yes,ELECTRIC WALL,2,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
716940.625,82.80000305,36172,AVERAGE,WOOD FRAME,22,42,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL
1964681.25,192.8000031,31900,AVERAGE/GOOD,MASONRY,23,55,,COMPLETE HVAC,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,COMPLETE HVAC
6486377.5,195.8999939,175885,AVERAGE,REINFORCED CONCRETE,18,18,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Very Irreg,Yes,4,344,COMPLETE HVAC
164817.9063,25.60000038,20184,AVERAGE,WOOD FRAME,25,61,No,WALL FURNACE,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,No,3,352,WALL FURNACE
783104.125,114.1999969,21540,AVERAGE,WOOD FRAME,28,56,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
505949.0938,73.5,21608,AVERAGE,WOOD FRAME,28,54,No,ELECTRIC WALL,1,APARTMENT (300),Long Rect or Irreg,No,4,300,ELECTRIC WALL
905926.875,81.5,33733,AVERAGE,WOOD FRAME,14,27,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL
1028376.875,23.60000038,104786,AVERAGE,MASONRY,39,49,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,2,406,SPACE HEATERS
709990.8125,85.40000153,26094,AVERAGE,MASONRY,65,65,,SPACE HEATERS,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,Yes,1,494,SPACE HEATERS
1628540,64.80000305,38412,AVERAGE,MASONRY,59,94,,NO HEAT,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,Yes,1,494,NO HEAT
545426.375,66.19999695,25881,LOW COST,MASONRY,68,88,,NO HEAT,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,Yes,1,494,NO HEAT
106918,14.80000019,24617,AVERAGE,REINFORCED CONCRETE,48,86,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,406,SPACE HEATERS
2339814.25,28.89999962,110689,LOW COST,PREFAB STEEL,43,45,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,406,SPACE HEATERS
1748644.5,91.30000305,37247,AVERAGE,MASONRY,38,54,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,No,1,407,SPACE HEATERS
6235947,144,93610,AVERAGE,MASONRY,38,68,Yes,SPACE HEATERS,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,1,344,SPACE HEATERS
2058955.25,114,53620,AVERAGE,MASONRY,39,70,,SPACE HEATERS,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,1,344,SPACE HEATERS
2100216.5,91.40000153,48890,AVERAGE,MASONRY,53,77,,HOT WATER,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,406,HOT WATER
4416909.5,319,43473,AVERAGE/GOOD,MASONRY,8,18,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Long Rect or Irreg,Yes,3,344,COMPLETE HVAC
3202213,162.1000061,50008,AVERAGE/GOOD,MASONRY,18,80,,FORCED AIR UNIT,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,1,344,FORCED AIR UNIT
2075891,82.19999695,46797,AVERAGE,MASONRY,38,60,,HOT WATER,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,1,365,HOT WATER
4028075.5,110.9000015,100536,AVERAGE,REINFORCED CONCRETE,22,40,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,Yes,7,352,ELECTRIC WALL
7305474,181.6000061,102500,AVERAGE,MASONRY,26,26,,HEAT PUMP,1,DISCOUNT STORE (319),Rect or Slight Irreg,Yes,1,319,HEAT PUMP
3275779.25,104.5,42172,AVERAGE,MASONRY,42,92,,FORCED AIR UNIT,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,1,365,FORCED AIR UNIT
4585966,241.1999969,38050,AVERAGE,MASONRY,49,89,,WARMED AND COOLED AIR,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,2,459,WARMED AND COOLED AIR
1508561.875,131,39953,AVERAGE,WOOD FRAME,23,47,,PACKAGE UNIT,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,2,344,PACKAGE UNIT
1676426.5,248.3000031,21200,AVERAGE,MASONRY,20,20,,COMPLETE HVAC,1,MIXED USE RETAIL (830),Very Irreg,Yes,2,830,COMPLETE HVAC
561473.875,38.90000153,22522,AVERAGE,MASONRY,33,71,,NO HEAT,1,"MINI WAREHOUSE, HI-RISE (525)",Rect or Slight Irreg,No,3,525,NO HEAT
905750.375,52.59999847,38959,GOOD,WOOD FRAME,18,22,Yes,SPACE HEATERS,1,"MINI WAREHOUSE, HI-RISE (525)",Rect or Slight Irreg,Yes,4,525,SPACE HEATERS
2253647.75,142.6999969,27840,AVERAGE,MASONRY,28,92,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,HOT WATER
816300.5,145.3999939,20739,AVERAGE,WOOD FRAME,22,40,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,No,3,352,ELECTRIC WALL
1218112,147.3999939,25955,LOW COST,MASONRY,48,90,,SPACE HEATERS,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,No,2,494,SPACE HEATERS
586358.875,49.79999924,25120,GOOD,WOOD FRAME,27,93,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER
2128459,78,67371,AVERAGE,WOOD FRAME,14,14,,ELECTRIC WALL,1,ELEMENTARY SCHOOL (ENTIRE) (365),Very Irreg,Yes,2,365,ELECTRIC WALL
1967434.5,98.40000153,93087,AVERAGE/GOOD,WOOD FRAME,11,36,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,4,352,ELECTRIC WALL
2299535.25,106.8000031,86835,AVERAGE,MASONRY,27,53,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL
3776252.25,104,128649,AVERAGE/GOOD,WOOD FRAME,13,28,Yes,WALL FURNACE,3,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,WALL FURNACE
409578.4063,62.5,33580,AVERAGE,MASONRY,33,33,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,WARMED AND COOLED AIR
4217623,80.69999695,165914,AVERAGE,WOOD FRAME,8,8,Yes,ELECTRIC,1,APARTMENT (300),Very Irreg,Yes,7,300,ELECTRIC
530700.125,96.80000305,21388,AVERAGE/GOOD,WOOD FRAME,7,17,Yes,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,4,352,ELECTRIC
113130,12.30000019,21936,AVERAGE,WOOD FRAME,31,41,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,406,SPACE HEATERS
1045838.5,53.40000153,30160,AVERAGE,MASONRY,33,49,,SPACE HEATERS,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,No,1,494,SPACE HEATERS
648879.3125,84.90000153,37692,AVERAGE,WOOD FRAME,12,19,Yes,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,Yes,4,352,ELECTRIC
745336.8125,73.69999695,31744,GOOD,WOOD FRAME,22,52,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
872114.5,78.19999695,35000,AVERAGE,MASONRY,24,111,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,No,3,352,ELECTRIC WALL
1412424.25,77.90000153,36837,AVERAGE/GOOD,WOOD FRAME,24,88,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL
2466700.5,90.09999847,39520,AVERAGE,WOOD FRAME,23,88,Yes,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,HOT WATER
1189942.75,63.90000153,41420,AVERAGE/GOOD,WOOD FRAME,24,89,No,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,HOT WATER
1266387,77.69999695,20798,AVERAGE/GOOD,WOOD FRAME,24,88,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER
1870457.75,93.59999847,32693,AVERAGE,WOOD FRAME,28,88,No,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,HOT WATER
835093.1875,117.5999985,22716,AVERAGE,WOOD FRAME,20,33,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
1820814.75,128.3999939,43477,GOOD,WOOD FRAME,17,51,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL
644081.125,78.09999847,31040,AVERAGE/GOOD,WOOD FRAME,24,88,No,FORCED AIR UNIT,1,APARTMENT (300),Rect or Slight Irreg,Yes,5,300,FORCED AIR UNIT
829440.625,72.80000305,24280,AVERAGE,MASONRY,33,103,Yes,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,HOT WATER
888593.6875,76,36732,AVERAGE,WOOD FRAME,30,60,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
1790148.625,61.29999924,41137,AVERAGE,MASONRY,28,89,Yes,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,HOT WATER
740230.375,67.30000305,21234,AVERAGE,WOOD FRAME,33,105,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER
652429.875,79.80000305,29454,AVERAGE,WOOD FRAME,28,56,Yes,ELECTRIC WALL,2,APARTMENT (300),Rect or Slight Irreg,Yes,5,300,ELECTRIC WALL
602191.1875,73.90000153,25596,AVERAGE,WOOD FRAME,28,56,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
999924.3125,67,23120,AVERAGE,WOOD FRAME,30,70,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL
1313366,105.1999969,39212,AVERAGE,MASONRY,30,60,No,HOT WATER-RADIANT,2,APARTMENT (300),Rect or Slight Irreg,No,6,300,HOT WATER-RADIANT
536511.5,76.30000305,22093,AVERAGE,WOOD FRAME,25,58,Yes,ELECTRIC WALL,1,APARTMENT (300),Long Rect or Irreg,No,4,300,ELECTRIC WALL
679565.625,96.5,22113,AVERAGE,WOOD FRAME,33,112,,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,2,300,ELECTRIC WALL
2190460,175.5,57110,AVERAGE,REINFORCED CONCRETE,28,34,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,4,344,HEAT PUMP
982153.875,76.40000153,40370,AVERAGE,MASONRY,43,104,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
3245598,96,51150,AVERAGE,MASONRY,31,94,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
5838129,105.8000031,129860,AVERAGE,REINFORCED CONCRETE,25,68,Yes,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,8,352,HOT WATER
873711.125,66,34976,AVERAGE,MASONRY,38,106,,HOT WATER,1,MIXED USE OFFICE (840),Rect or Slight Irreg,Yes,3,840,HOT WATER
1351808.75,83.90000153,22604,AVERAGE,WOOD FRAME,30,71,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER
2942890.75,84.30000305,46296,GOOD,MASONRY,30,109,No,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,No,4,300,HOT WATER
961476.1875,69.09999847,36282,AVERAGE,WOOD FRAME,23,89,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,HOT WATER
2338567.75,139.6000061,54820,LOW/AVERAGE,REINFORCED CONCRETE,24,48,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,9,300,ELECTRIC WALL
761504.875,64.09999847,44016,AVERAGE,MASONRY,30,58,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,6,300,ELECTRIC WALL
1648730.5,72.69999695,31552,AVERAGE/GOOD,WOOD FRAME,24,88,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,HOT WATER
1355062.75,68.30000305,29533,AVERAGE/GOOD,MASONRY,22,93,No,HEAT PUMP,2,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HEAT PUMP
1493131.75,98.80000305,20688,AVERAGE,MASONRY,28,88,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER
1385975.75,84,22972,AVERAGE,MASONRY,30,72,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER
1342943.25,86,49034,AVERAGE,WOOD FRAME,20,33,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL
611911.5,71.09999847,33164,AVERAGE,WOOD FRAME,28,56,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL
2309007.25,73.5,118344,AVERAGE,WOOD FRAME,4,4,Yes,ELECTRIC,1,APARTMENT (300),Rect or Slight Irreg,Yes,5,300,ELECTRIC
1208168.75,98.80000305,38407,GOOD,MASONRY,30,111,No,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,HOT WATER
4409881.5,91.59999847,88422,AVERAGE,REINFORCED CONCRETE,31,63,Yes,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,Yes,6,300,HOT WATER
910639.1875,37.20000076,34498,LOW/AVERAGE,MASONRY,43,111,No,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,HOT WATER
9683979,204,242686,GOOD,REINFORCED CONCRETE,10,10,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,4,344,COMPLETE HVAC
470666.6875,32.79999924,22952,AVERAGE/GOOD,WOOD FRAME,34,55,,HEAT PUMP,1,CHURCH (309),Rect or Slight Irreg,No,2,309,HEAT PUMP
2022990.625,84,108066,AVERAGE/GOOD,WOOD FRAME,7,17,Yes,COMPLETE HVAC,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,6,459,COMPLETE HVAC
664913.875,78.69999695,26528,AVERAGE,WOOD FRAME,26,51,Yes,HOT WATER-RADIANT,1,APARTMENT (300),Long Rect or Irreg,No,4,300,HOT WATER-RADIANT
745575,67.19999695,25914,AVERAGE/GOOD,WOOD FRAME,17,51,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL
904236,129,23250,AVERAGE,WOOD FRAME,33,51,,FORCED AIR UNIT,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,2,344,FORCED AIR UNIT
1517410.5,113.1999969,42090,AVERAGE,WOOD FRAME,26,51,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,5,300,ELECTRIC WALL
2551022.25,77.90000153,50832,AVERAGE,MASONRY,33,61,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS
2794837,139.6999969,30000,AVERAGE,MASONRY,58,58,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS
1791697.75,94.09999847,45036,AVERAGE,MASONRY,48,56,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,406,SPACE HEATERS
2843033.5,116.4000015,76354,AVERAGE,MASONRY,38,47,,COMPLETE HVAC,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,1,406,COMPLETE HVAC
3064039.5,148.5,31569,AVERAGE,MASONRY,48,56,,NO HEAT,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,NO HEAT
177812.7969,24.799999239999998,22509,AVERAGE,MASONRY,43,62,,NO HEAT,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,No,1,407,NO HEAT
1073156.375,51,39984,AVERAGE,MASONRY,48,62,,NO HEAT,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,NO HEAT
2831565.5,81.19999695,98480,AVERAGE,MASONRY,19,62,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS
2473962.5,133.8999939,56745,AVERAGE,WOOD FRAME,9,9,Yes,ELECTRIC,1,APARTMENT (300),Very Irreg,Yes,6,300,ELECTRIC
1019830.375,70.5,55977,AVERAGE/GOOD,WOOD FRAME,8,21,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL
